OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Address,State,ZipCode,Neighborhood,LargestPropertyUseType,YearsENERGYSTARCertified,NumberofBuildings,NumberofFloors,PropertyGFATotal,ENERGYSTARScore,SiteEnergyUse(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,BuildingAge,TotalUseTypeNumber,GFABuildingRate,GFAParkingRate,GFAPerBuilding,GFAPerFloor,harvesine_distance
21471,2015,NonResidential,Other,EITEL BUILDING (2ND AND PIKE BUILDING),1501 2ND AVE,WA,98101,DOWNTOWN,Other,,1.0,7.0,44928.0,,413919.0,0.0,380478.0,33457.0,4.43,111,6,1.0,0.0,44928.0,6418.286,12358.15926661657
21688,2015,NonResidential,Non-Refrigerated Warehouse,JUNEAU STREET ASSOC,3613 S JUNEAU ST,WA,98118,SOUTHEAST,Non-Refrigerated Warehouse,,1.0,1.0,27435.0,49.0,1231546.0,0.0,621684.0,609888.0,36.72,63,2,1.0,0.0,27435.0,27435.0,12357.399692026922
21796,2015,NonResidential,K-12 School,SEATTLE PREP - ADELPHIA,2400 11TH AVE E,WA,98102,EAST,K-12 School,,1.0,1.0,83882.0,72.0,2539565.0,0.0,1515673.0,1023954.0,64.95,110,1,1.0,0.0,83882.0,83882.0,12355.147349188588
22138,2015,NonResidential,Worship Facility,BRIGHTON PRESBYTERIAN CHURCH,6721 51ST AVE S,WA,98118,SOUTHEAST,Unknown,,1.0,2.0,22029.0,100.0,91996.0,0.0,92000.0,0.0,0.64,88,1,1.0,0.0,22029.0,11014.5,12356.64613459186
22441,2015,NonResidential,Small- and Mid-Sized Office,DEPT OF SOCIAL & HEALTH SERVICES,907 NW BALLARD WAY,WA,98107,BALLARD,Office,,1.0,2.0,37448.0,88.0,2547582.0,0.0,1937707.0,609955.0,45.9,36,1,1.0,0.0,37448.0,18724.0,12357.708276180889
23163,2015,NonResidential,Medical Office,LESCHI CENTER,606 12TH AVE S,WA,98144,DOWNTOWN,Medical Office,,1.0,4.0,43813.0,76.0,1798899.0,0.0,1798974.0,0.0,12.54,20,1,0.47308,0.52692,43813.0,10953.25,12357.211100431441
23848,2015,NonResidential,Restaurant,SPAGHETTI FACTORY,2815 ELLIOTT AVE,WA,98121,DOWNTOWN,Restaurant,,1.0,2.0,40320.0,,3816695.0,0.0,1814019.0,2002751.0,119.01,113,2,1.0,0.0,40320.0,20160.0,12358.891021881438
24904,2015,NonResidential,Mixed Use Property,RETAIL,1630 15TH AVE W,WA,98119,MAGNOLIA / QUEEN ANNE,Unknown,,1.0,2.0,23000.0,,595839.0,0.0,326420.0,269432.0,16.59,87,1,1.0,0.0,23000.0,11500.0,12359.447004477848
25042,2015,NonResidential,Other,ALAN FRIEDMAN BUILDING,1701 18TH AVE S,WA,98144,GREATER DUWAMISH,Outpatient Rehabilitation/Physical Therapy,,1.0,2.0,33332.0,,662012.0,0.0,268361.0,393662.0,22.78,49,2,1.0,0.0,33332.0,16666.0,12357.176305500694
25455,2015,NonResidential,Other,DUCATI SEATTLE,711 9TH AVE N,WA,98109,MAGNOLIA / QUEEN ANNE,Automobile Dealership,,1.0,1.0,23050.0,,4291789.0,0.0,1966049.0,2325821.0,137.23,93,1,1.0,0.0,23050.0,23050.0,12357.421271822654
25654,2015,NonResidential,Retail Store,FISHER BUILDING,115 S JACKSON ST,WA,98104,DOWNTOWN,Unknown,,1.0,2.0,21600.0,,184077.0,0.0,184085.0,0.0,1.28,115,1,1.0,0.0,21600.0,10800.0,12358.239404946233
27639,2015,NonResidential,Other,TEATRO ZINZANNI,225 ROY ST,WA,98109,MAGNOLIA / QUEEN ANNE,Performing Arts,,1.0,2.0,23098.0,,3058638.0,0.0,1457443.0,1601256.0,95.2,7,1,1.0,0.0,23098.0,11549.0,12358.26299584344
27829,2015,NonResidential,Small- and Mid-Sized Office,EAST PIKE BUILDING,1205 E PIKE ST,WA,98122,EAST,Office,,1.0,2.0,21228.0,64.0,799996.0,0.0,800029.0,0.0,5.58,95,1,1.0,0.0,21228.0,10614.0,12356.39016626362
49859,2015,Campus,Other,AMGEN INC. MASTER CAMPUS,1201 AMGEN CT W,WA,98119,MAGNOLIA / QUEEN ANNE,Other,,7.0,4.0,808520.0,,157606480.0,0.0,76742000.0,80867644.0,4829.86,13,1,0.53495,0.46505,115502.857,202130.0,12359.648441306597
1,2016,NonResidential,Hotel,Mayflower park hotel,405 Olive way,WA,98101.0,DOWNTOWN,Hotel,,1.0,12.0,88434.0,62.5,7103895.25,2013457.0,3816093.5,1274420.5,249.70499999999998,89,1,1.0,0.0,88434.0,7369.5,12357.93595698671
2,2016,NonResidential,Hotel,Paramount Hotel,724 Pine street,WA,98101.0,DOWNTOWN,Hotel,,1.0,11.0,103566.0,56.0,8371084.0,0.0,3574131.0,4797033.5,279.685,20,3,0.85455,0.14545,103566.0,9415.091,12357.61457950747
3,2016,NonResidential,Hotel,5673-The Westin Seattle,1900 5th Avenue,WA,98101.0,DOWNTOWN,Hotel,,1.0,41.0,959050.0,30.5,72858840.0,20613479.0,49644549.5,2601850.0,2075.38,47,1,0.89744,0.10256,959050.0,23391.463,12357.861941194937
5,2016,NonResidential,Hotel,HOTEL MAX,620 STEWART ST,WA,98101.0,DOWNTOWN,Hotel,,1.0,10.0,61320.0,28.5,17511952.0,12836482.125,2768973.5,1906553.5,1111.385,90,1,1.0,0.0,61320.0,6132.0,12357.753855264433
8,2016,NonResidential,Hotel,WARWICK SEATTLE HOTEL (ID8),401 LENORA ST,WA,98121.0,DOWNTOWN,Hotel,,1.0,18.0,147735.0,71.0,14500852.5,0.0,5717426.0,8783551.5,506.355,36,3,0.74799,0.25201,147735.0,8207.5,12358.03134586076
9,2016,Nonresidential COS,Other,West Precinct,810 Virginia St,WA,98101.0,DOWNTOWN,Police Station,,1.0,2.0,97288.0,,12069300.0,0.0,7321219.0,4748232.5,303.21500000000003,17,1,0.61765,0.38235,97288.0,48644.0,12357.649720430256
10,2016,NonResidential,Hotel,Camlin,1619 9th Avenue,WA,98101.0,DOWNTOWN,Hotel,,1.0,11.0,83008.0,26.0,6005818.5,0.0,2745456.5,3260417.5,192.3,90,1,1.0,0.0,83008.0,7546.182,12357.505505521833
11,2016,NonResidential,Other,Paramount Theatre,911 Pine St,WA,98101.0,DOWNTOWN,Other - Entertainment/Public Assembly,,1.0,8.0,102761.0,,6362076.75,2139697.25,3872329.5,350134.0,210.75,90,1,1.0,0.0,102761.0,12845.125,12357.435353493222
12,2016,NonResidential,Hotel,311wh-Pioneer Square,612 2nd Ave,WA,98104.0,DOWNTOWN,Hotel,,1.0,15.0,163984.0,44.5,13178782.0,0.0,7326784.0,5852150.0,361.885,112,1,1.0,0.0,163984.0,10932.267,12358.008034196586
15,2016,NonResidential,Hotel,Hotel Monaco Seattle,1101 4th Avenue,WA,98101.0,DOWNTOWN,Hotel,,1.0,11.0,153163.0,39.0,15368248.5,4430353.75,6262579.0,4675447.0,633.9449999999999,47,1,0.87413,0.12587,153163.0,13923.909,12357.921761378986
16,2016,NonResidential,Hotel,5679-W Seattle,1112 Fourth Avenue,WA,98101.0,DOWNTOWN,Hotel,,1.0,25.0,333176.0,34.0,27329068.0,5712878.25,18570885.5,3045700.0,732.185,18,1,0.81643,0.18357,333176.0,13327.04,12357.85148320195
17,2016,NonResidential,Hotel,Executive Pacific Plaza,400 Spring Street,WA,98104.0,DOWNTOWN,Hotel,,1.0,9.0,65009.0,43.5,6701642.25,1821757.75,1479028.5,3400889.5,331.55,88,1,1.0,0.0,65009.0,7223.222,12357.87369613796
18,2016,NonResidential,Hotel,Crowne Plaza Hotel Seattle,1113 6th Ave,WA,98101.0,DOWNTOWN,Hotel,,1.0,33.0,315952.0,57.0,22568527.0,4534414.25,13997544.5,4036860.0,661.98,36,2,0.81769,0.18231,315952.0,9574.303,12357.73089275175
19,2016,NonResidential,Hotel,Hotel Vintage Seattle,1100 5th Avenue,WA,98101.0,DOWNTOWN,Hotel,,1.0,11.0,79790.0,24.5,10730730.5,4637317.75,3960888.0,2132609.0,498.82,94,2,0.84209,0.15791,79790.0,7253.636,12357.778053362754
21,2016,Nonresidential COS,Other,The Seattle Public Library - Central Library,1000 Fourth Avenue,WA,98154.0,DOWNTOWN,Library,,1.0,11.0,412000.0,,17719047.0,720371.75,16999007.5,0.0,174.11,12,3,0.86165,0.13835,412000.0,37454.545,12357.863962982665
22,2016,NonResidential,Other,Downtown Seattle YMCA,909 4th Avenue,WA,98104.0,DOWNTOWN,Fitness Center/Health Club/Gym,,1.0,6.0,103911.0,,10148339.0,4495184.75,4871043.5,782220.0,422.475,86,3,1.0,0.0,103911.0,17318.5,12357.900239925335
23,2016,NonResidential,Hotel,Renaissance Seattle Hotel,515 Madison Street,WA,98104.0,DOWNTOWN,Hotel,,1.0,28.0,416281.0,30.5,33413637.0,0.0,21578770.5,11835320.5,779.005,33,2,0.79581,0.20419,416281.0,14867.179,12357.700159868538
24,2016,NonResidential,Mixed Use Property,The Rainier Club,820 4th Ave.,WA,98104.0,DOWNTOWN,Social/Meeting Hall,,1.0,5.0,57452.0,,7543926.25,1765783.4375,3769383.0,2008837.0,269.26,109,5,1.0,0.0,57452.0,11490.4,12357.833336291746
25,2016,NonResidential,Hotel,Arctic Club Seattle,700 3rd Ave,WA,98104.0,DOWNTOWN,Hotel,,1.0,10.0,104352.0,61.0,8999860.0,3318179.5,3849517.5,1832200.0,380.27,100,1,1.0,0.0,104352.0,10435.2,12357.922558188333
26,2016,NonResidential,Other,King County Courthouse,516 3RD AVE,WA,98104.0,DOWNTOWN,Courthouse,,1.0,10.0,540360.0,71.5,49158558.0,0.0,25578369.5,23580743.5,1430.685,100,1,1.0,0.0,540360.0,54036.0,12357.87769556728
27,2016,NonResidential,Other,King County Correctional Facility,500 5TH AVE,WA,98104.0,DOWNTOWN,Other,,1.0,19.0,385274.0,,49379530.0,0.0,18967464.5,30412473.5,1747.435,31,1,1.0,0.0,385274.0,20277.579,12357.682536037444
29,2016,NonResidential,Hotel,WATERTOWN HOTEL,4242 ROOSEVELT WAY NE,WA,98105.0,NORTHEAST,Hotel,,1.0,6.0,88592.0,84.5,3772170.25,0.0,2260491.0,1511726.0,96.045,15,2,0.65475,0.34525,88592.0,14765.333,12354.316551028469
30,2016,NonResidential,University,Main Campus Center,1000 Lenora St.,WA,98121.0,DOWNTOWN,College/University,,1.0,7.0,126593.0,,10567621.5,0.0,4615068.5,5952647.5,348.32000000000005,88,1,1.0,0.0,126593.0,18084.714,12357.539803474767
31,2016,NonResidential,Other,Seattle Honda,1015 & 1017 Olive Way,WA,98101.0,DOWNTOWN,Automobile Dealership,,1.0,2.0,67224.0,,1349476.8125,0.0,1349505.5,0.0,9.405000000000001,86,1,1.0,0.0,67224.0,33612.0,12357.316537619847
32,2016,NonResidential,Hotel,Homewood Suites,1011 Pike ST,WA,98101.0,EAST,Hotel,,1.0,8.0,158676.0,,5243696.75,0.0,552527.0,4691181.0,253.0,25,4,0.80904,0.19096,158676.0,19834.5,12357.307030297457
33,2016,NonResidential,Hotel,Marriott Springhill Suites (33),1800 Yale Ave,WA,98101.0,DOWNTOWN,Hotel,,1.0,10.0,171866.0,38.5,11044430.5,0.0,5687150.5,5357400.0,324.18,15,1,0.77726,0.22274,171866.0,17186.6,12357.104710437932
35,2016,NonResidential,Hotel,Hotel Five,2200 5th ave,WA,98121.0,DOWNTOWN,Hotel,,1.0,5.0,68410.0,58.5,4399210.25,0.0,2311296.5,2087960.5,127.005,38,1,0.76319,0.23681,68410.0,13682.0,12358.039520123013
38,2016,NonResidential,Small- and Mid-Sized Office,Good Shepherd Center,4649 Sunnyside Ave. N.,WA,98070.0,LAKE UNION,Office,,1.0,3.0,87262.0,,4067324.75,0.0,1353183.5,2714169.0,153.57999999999998,110,4,1.0,0.0,87262.0,29087.333,12355.02869455482
40,2016,NonResidential,Hotel,Silver Cloud University,5036 25th Ave NE,WA,98105.0,NORTHEAST,Hotel,,1.0,4.0,81871.0,24.5,7044166.75,0.0,3141334.5,3902899.5,229.185,22,1,1.0,0.0,81871.0,20467.75,12352.808337814447
41,2016,NonResidential,Self-Storage Facility,08781-University Village,2746 Ne 45th St Suite 100,WA,98105.0,NORTHEAST,Self-Storage Facility,,1.0,2.0,118375.0,77.0,312542.90625,0.0,276998.5,35550.0,3.8200000000000003,61,1,1.0,0.0,118375.0,59187.5,12352.75280954264
43,2016,Campus,Mixed Use Property,Plant 2 Site,7755 E MARGINAL WAY S,WA,98108.0,GREATER DUWAMISH,Office,,1.0,3.0,494835.0,8.0,448385312.0,0.0,150476283.0,297909000.0,16870.98,24,5,1.0,0.0,494835.0,164945.0,12360.205612119536
46,2016,NonResidential,Warehouse,Seattle 11-13,3301 S NORFOLK ST,WA,98118.0,GREATER DUWAMISH,Non-Refrigerated Warehouse,,5.0,2.0,714095.0,1.0,46287526.0,0.0,46288511.0,0.0,322.69,55,3,1.0,0.0,142819.0,357047.5,12359.329922664308
50,2016,SPS-District K-12,K-12 School,Lawton Elementary,4000 27th Ave. W.,WA,98199.0,MAGNOLIA / QUEEN ANNE,K-12 School,2016,1.0,2.0,54986.0,94.0,1652945.625,0.0,1249777.0,403195.0,30.125,26,1,1.0,0.0,54986.0,27493.0,12359.398383008043
52,2016,NonResidential,Small- and Mid-Sized Office,SBC52,5305 Shilshole Ave NW,WA,98107.0,BALLARD,Office,,1.0,2.0,94900.0,57.0,6115157.25,0.0,4290641.0,1824605.0,126.82,55,2,1.0,0.0,94900.0,47450.0,12358.578804176672
53,2016,NonResidential,Small- and Mid-Sized Office,El Centro de la Raza,2524 16th Ave S,WA,98144.0,GREATER DUWAMISH,Office,,1.0,2.0,52554.0,88.0,2544508.625,0.0,1402882.5,1141651.5,70.41499999999999,116,2,1.0,0.0,52554.0,26277.0,12357.623826016918
54,2016,NonResidential,K-12 School,Blanchet High School,8200 Wallingford Ave. N,WA,98103.0,NORTHWEST,K-12 School,,1.0,3.0,175015.0,95.0,7037429.25,0.0,2686963.0,4350521.5,249.785,62,1,1.0,0.0,175015.0,58338.333,12354.154294394268
55,2016,NonResidential,Self-Storage Facility,Vine Street,11 Vine Street,WA,98121.0,DOWNTOWN,Self-Storage Facility,,1.0,3.0,70586.0,,2152845.5,0.0,1553870.0,599008.5,42.65,105,3,1.0,0.0,70586.0,23528.667,12358.777314669396
56,2016,NonResidential,Hotel,Seattle Hilton Hotel,1301 Sixth Ave,WA,98101.0,DOWNTOWN,Hotel,,1.0,24.0,332210.0,67.5,15911911.0,0.0,12256543.0,3655623.0,279.59000000000003,47,1,0.38,0.62,332210.0,13842.083,12357.751268417556
57,2016,NonResidential,Large Office,5th and Pine,413 Pine Street,WA,98101.0,DOWNTOWN,Office,2016,1.0,5.0,168115.0,78.5,9375001.0,0.0,9375191.0,0.0,65.355,43,3,1.0,0.0,168115.0,33623.0,12357.883278879832
58,2016,NonResidential,Other,1525 4th Avenue,1525 4th Ave,WA,98101.0,DOWNTOWN,Other - Mall,,1.0,2.0,57428.0,,623681.0,0.0,357469.5,266211.5,16.63,96,4,1.0,0.0,57428.0,28714.0,12357.980692999423
59,2016,NonResidential,Small- and Mid-Sized Office,Gibraltar Tower,1520 3rd Ave,WA,98101.0,DOWNTOWN,Office,,1.0,8.0,59400.0,14.0,4493960.5,0.0,4494040.5,0.0,31.33,106,2,1.0,0.0,59400.0,7425.0,12358.013573784456
60,2016,NonResidential,Mixed Use Property,Mann Building,1401 3rd Avenue,WA,98101.0,DOWNTOWN,Other - Entertainment/Public Assembly,,1.0,2.0,52549.0,,15305071.5,0.0,4963242.5,10341939.0,583.8599999999999,90,3,1.0,0.0,52549.0,26274.5,12358.055919402788
62,2016,NonResidential,Hotel,Roosevelt Hotel,1531 7th Ave,WA,98101.0,DOWNTOWN,Hotel,,1.0,20.0,98634.0,58.5,5508579.75,0.0,4856529.0,652164.0,68.495,86,3,0.89818,0.10182,98634.0,4931.7,12357.680622540216
63,2016,NonResidential,Hotel,Sheraton Seattle Hotel,1400 6th Avenue,WA,98101.0,DOWNTOWN,Hotel,,1.0,34.0,994212.0,61.5,82913584.0,13914259.0,45293581.5,23706672.5,2648.825,34,3,0.85245,0.14755,994212.0,29241.529,12357.686226212483
65,2016,NonResidential,Hotel,Inn at the Market,86 Pine St,WA,98101.0,DOWNTOWN,Hotel,,1.0,7.0,71150.0,98.5,5194345.5,0.0,3148515.5,2045893.0,130.605,31,4,1.0,0.0,71150.0,10164.286,12358.271194093786
66,2016,NonResidential,Hotel,Moore Hotel INC,1926 2nd Ave,WA,98101.0,DOWNTOWN,Hotel,,1.0,7.0,122810.0,99.0,5244070.25,0.0,1299645.0,3944452.0,218.55,108,3,1.0,0.0,122810.0,17544.286,12358.18047162827
67,2016,NonResidential,Hotel,QUALITY INN,618 JOHN ST,WA,98109.0,LAKE UNION,Hotel,,1.0,5.0,113173.0,86.0,5136292.25,0.0,3035080.0,2101276.5,132.76,57,2,0.62406,0.37594,113173.0,22634.6,12357.992001769722
68,2016,NonResidential,Hotel,Rainier Hospitality,211 Dexter Ave N,WA,98109.0,LAKE UNION,Hotel,2014,1.0,7.0,150453.0,83.5,6719036.5,0.0,3491336.0,3227775.0,195.765,16,1,0.76913,0.23087,150453.0,21493.286,12357.890567329758
69,2016,NonResidential,Hotel,Sequim Lodging Corp,226 Aurora Ave N,WA,98109.0,LAKE UNION,Hotel,,1.0,6.0,116300.0,82.0,5920836.75,0.0,3213262.0,2707641.5,166.2,19,1,0.75752,0.24248,116300.0,19383.333,12357.906416305037
70,2016,NonResidential,Hotel,Homewood Suites by Hilton Seattle Downtonw,206 Western Ave West,WA,98119.0,MAGNOLIA / QUEEN ANNE,Hotel,,1.0,6.0,155602.0,81.0,6876096.5,0.0,4562686.0,2313504.0,154.675,18,1,0.76386,0.23614,155602.0,25933.667,12359.018653568563
73,2016,NonResidential,K-12 School,Seattle Hebrew Academy,1617 Interlaken Drive East,WA,98136.0,EAST,K-12 School,,1.0,3.0,56072.0,76.5,3170858.875,0.0,551111.0,2619758.5,142.98000000000002,105,1,1.0,0.0,56072.0,18690.667,12354.848809628185
77,2016,NonResidential,Hotel,Comfort Suites Seattle Center,601 Roy St,WA,98109.0,MAGNOLIA / QUEEN ANNE,Hotel,,1.0,4.0,122942.0,94.0,5307055.5,0.0,2412195.0,2894910.0,170.565,17,2,0.63486,0.36514,122942.0,30735.5,12357.770062015577
82,2016,NonResidential,Small- and Mid-Sized Office,Dept of Social & Health Services,1700 E. Cherry St,WA,98122.0,CENTRAL,Office,,1.0,2.0,54984.0,68.0,3440084.0,0.0,2079761.5,1360367.5,86.745,54,1,1.0,0.0,54984.0,27492.0,12356.192062826181
84,2016,NonResidential,Senior Care Community,PSSA - The Mount,4831 35th Ave SW,WA,98126.0,SOUTHWEST,Senior Care Community,,1.0,5.0,217603.0,52.0,44143198.0,0.0,11952747.0,32190701.5,1792.975,94,2,1.0,0.0,217603.0,43520.6,12363.156876803218
85,2016,NonResidential,Senior Care Community,Foss Home and Village,13023 Greenwood Ave. N,WA,98133.0,NORTHWEST,Senior Care Community,,1.0,2.0,93397.0,1.0,16387163.5,0.0,5738737.0,10648546.0,605.55,46,1,1.0,0.0,93397.0,46698.5,12353.87319041248
86,2016,NonResidential,Hotel,SCCA - ALLIANCE HOUSE,207 Pontius Ave N,WA,98109.0,LAKE UNION,Hotel,,1.0,6.0,84103.0,71.0,3842616.125,0.0,2894252.0,948425.5,70.55000000000001,8,2,0.75349,0.24651,84103.0,14017.167,12357.174987910304
89,2016,NonResidential,Medical Office,Polyclinic North && South,1200 Harvard Ave,WA,98122.0,EAST,Medical Office,,0.5,3.0,179014.0,48.0,17784911.5,0.0,9693743.5,8091364.5,497.30999999999995,51,1,1.0,0.0,358028.0,59671.333,12356.798061131787
95,2016,NonResidential,Hotel,Sorrento Hotel,900 Madison St.,WA,98104.0,EAST,Hotel,,1.0,7.0,76631.0,47.5,7245343.25,0.0,2722416.0,4522984.5,259.195,108,1,1.0,0.0,76631.0,10947.286,12357.336513909246
96,2016,NonResidential,Mixed Use Property,Central Seattle,921 Terry Ave.,WA,98104.0,EAST,Medical Office,,1.0,6.0,143690.0,,15356902.5,5071942.75,10285175.5,0.0,463.19500000000005,33,6,0.90315,0.09685,143690.0,23948.333,12357.323434799555
98,2016,NonResidential,Retail Store,Firestone Store#012432,400 Westlake Ave N,WA,98109.0,LAKE UNION,Retail Store,,1.0,2.0,58320.0,95.5,1061964.3125,0.0,369065.5,692906.0,39.375,87,1,1.0,0.0,58320.0,29160.0,12357.460985264752
100,2016,NonResidential,Large Office,City Place III - SEDO,551 Boren Ave. North,WA,98109.0,LAKE UNION,Office,,1.0,5.0,316306.0,96.0,13548406.5,0.0,12671137.0,877527.5,134.94,6,4,1.0,0.0,316306.0,63261.2,12357.264954300814
102,2016,NonResidential,Hotel,Residence Inn Seattle - Lake Union,800 Fairview Ave. N,WA,98109.0,LAKE UNION,Hotel,,1.0,7.0,282863.0,38.5,19144220.0,0.0,10809718.5,8334722.5,518.015,26,2,0.84174,0.15826,282863.0,40409.0,12356.944352809849
103,2016,Nonresidential COS,Other,Key Arena,334 1st Ave. N,WA,98109.0,MAGNOLIA / QUEEN ANNE,Other,,1.0,1.0,259000.0,,26498189.0,7326575.0,14366069.0,344340.0,683.96,54,1,1.0,0.0,259000.0,259000.0,12358.556067213225
104,2016,Nonresidential COS,Other,Bagley Wright Theatre,151 Mercer St.,WA,98109.0,MAGNOLIA / QUEEN ANNE,Other,,1.0,1.0,91213.0,,6605504.75,2695065.0,3688060.0,0.0,233.74,54,1,1.0,0.0,91213.0,91213.0,12358.556067213225
106,2016,Nonresidential COS,Other,Armory,305 Harrison St.,WA,98109.0,MAGNOLIA / QUEEN ANNE,Other,,1.0,5.0,396085.0,,24070061.0,10357345.0,7608376.0,0.0,852.505,78,1,1.0,0.0,396085.0,79217.0,12358.556067213225
107,2016,NonResidential,Large Office,City Place IV - SEDO,333 Boren Ave. N.,WA,98109.0,LAKE UNION,Office,,1.0,12.0,571329.0,90.0,40670332.0,0.0,33221473.0,7449568.5,627.24,6,3,1.0,0.0,571329.0,47610.75,12357.400379613895
110,2016,Nonresidential COS,Other,Exhibition Hall,225 Mercer St.,WA,98109.0,MAGNOLIA / QUEEN ANNE,Other,,1.0,2.0,50840.0,,2679420.5,1173690.0,1221434.5,0.0,99.11,54,1,1.0,0.0,50840.0,25420.0,12358.250037103355
111,2016,Nonresidential COS,Other,Mercer Arena,363 Mercer St.,WA,98109.0,MAGNOLIA / QUEEN ANNE,Other,,1.0,1.0,60696.0,,900461.65625,0.0,900480.5,0.0,6.28,88,1,1.0,0.0,60696.0,60696.0,12358.250037103355
112,2016,Nonresidential COS,Other,McCaw Hall,321 Mercer St.,WA,98109.0,MAGNOLIA / QUEEN ANNE,Other,,1.0,2.0,262048.0,,20775689.0,4518610.0,13748198.0,0.0,444.62,88,1,1.0,0.0,262048.0,131024.0,12358.29483831607
113,2016,NonResidential,Small- and Mid-Sized Office,KCTS9,401 Mercer St,WA,98109.0,MAGNOLIA / QUEEN ANNE,Office,,0.5,2.0,66240.0,,4248136.125,0.0,4248226.5,0.0,29.615000000000002,30,5,0.96449,0.03551,132480.0,33120.0,12358.089006807066
114,2016,NonResidential,Large Office,Bill and Melinda Gates Foundation,500 5th Ave N,WA,98109.0,MAGNOLIA / QUEEN ANNE,Office,,1.0,6.0,920598.0,93.0,36674116.0,0.0,28040140.0,8634566.0,654.06,6,3,0.6701,0.3299,920598.0,153433.0,12357.808355285299
